signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s1_dividend@v1,sh601988,buy,2400,3.11,5.0,0.0,filled,红利低波:买入中国银行(股息率6.4%)[单票上限15%削仓],
2022-01-28,2022-02-07,s1_dividend@v1,sh601169,buy,1600,4.54,5.0,0.0,filled,红利低波:买入北京银行(股息率6.7%)[单票上限15%削仓],
2022-01-28,2022-02-07,s1_dividend@v1,sh601288,buy,2500,2.98,5.0,0.0,filled,红利低波:买入农业银行(股息率6.3%)[单票上限15%削仓],
2022-01-28,2022-02-07,s1_dividend@v1,sh601328,buy,1500,4.8,5.0,0.0,filled,红利低波:买入交通银行(股息率6.7%)[单票上限15%削仓],
2022-01-28,2022-02-07,s1_dividend@v1,sh601006,buy,1100,6.63,5.0,0.0,filled,红利低波:买入大秦铁路(股息率7.3%)[单票上限15%削仓],
2022-01-28,2022-02-07,s1_dividend@v1,sh600016,buy,1900,3.91,5.0,0.0,filled,红利低波:买入民生银行(股息率5.5%)[单票上限15%削仓],
2022-03-31,2022-04-01,s1_dividend@v1,sh601006,sell,1100,6.83,5.0,3.76,filled,"掉出红利低波前6,卖出大秦铁路",
2022-03-31,2022-04-01,s1_dividend@v1,sh601328,sell,1500,5.08,5.0,3.81,filled,"掉出红利低波前6,卖出交通银行",
2022-03-31,2022-04-01,s1_dividend@v1,sh600016,sell,1900,3.8,5.0,3.61,filled,"掉出红利低波前6,卖出民生银行",
2022-03-31,2022-04-01,s1_dividend@v1,sh601818,buy,2300,3.29,5.0,0.0,filled,红利低波:买入光大银行(股息率6.4%)[单票上限15%削仓],
2022-03-31,2022-04-01,s1_dividend@v1,sh601398,buy,1600,4.76,5.0,0.0,filled,红利低波:买入工商银行(股息率5.6%)[单票上限15%削仓],
2022-03-31,2022-04-01,s1_dividend@v1,sh601229,buy,1100,6.61,5.0,0.0,filled,红利低波:买入上海银行(股息率6.0%)[单票上限15%削仓],
2022-06-30,2022-07-01,s1_dividend@v1,sh601988,sell,2400,3.26,5.0,3.91,filled,"掉出红利低波前6,卖出中国银行",
2022-06-30,2022-07-01,s1_dividend@v1,sh601288,sell,2500,3.02,5.0,3.78,filled,"掉出红利低波前6,卖出农业银行",
2022-06-30,2022-07-01,s1_dividend@v1,sh601077,buy,2000,3.71,5.0,0.0,filled,红利低波:买入渝农商行(股息率6.8%)[单票上限15%削仓],
2022-06-30,2022-07-01,s1_dividend@v1,sh600015,buy,1400,5.22,5.0,0.0,filled,红利低波:买入华夏银行(股息率12.3%)[单票上限15%削仓],
