signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s26_microcap@v1,sh601077,buy,2300,3.89,5.0,0.0,filled,s26_microcap@v1:买入601077(股息率5.8%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sz000999,buy,200,34.95,5.0,0.0,filled,s26_microcap@v1:买入000999(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sz002422,buy,400,17.73,5.0,0.0,filled,s26_microcap@v1:买入002422(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sz000988,buy,300,24.74,5.0,0.0,filled,s26_microcap@v1:买入000988(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sh601607,buy,400,19.08,5.0,0.0,filled,s26_microcap@v1:买入601607(股息率2.5%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sz000975,buy,1000,8.31,5.0,0.0,filled,s26_microcap@v1:买入000975(股息率0.0%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sh600482,buy,500,17.63,5.0,0.0,filled,s26_microcap@v1:买入600482(股息率0.4%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sh600372,buy,500,17.46,5.0,0.0,filled,s26_microcap@v1:买入600372(股息率0.6%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sh601838,buy,600,14.17,5.0,0.0,filled,s26_microcap@v1:买入601838(股息率3.3%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s26_microcap@v1,sh600674,buy,800,11.21,5.0,0.0,filled,s26_microcap@v1:买入600674(股息率3.4%)[总仓≤90%缩放],
2022-02-11,2022-02-14,s26_microcap@v1,sz000999,sell,200,33.88,5.0,3.39,filled,"s26_microcap@v1:000999当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-02-28,2022-03-01,s26_microcap@v1,sh600674,sell,800,11.96,5.0,4.78,filled,"s26_microcap@v1:600674综合排名掉出前10,卖出",
2022-02-28,2022-03-01,s26_microcap@v1,sh600482,sell,500,18.12,5.0,4.53,filled,"s26_microcap@v1:600482综合排名掉出前10,卖出",
2022-02-28,2022-03-01,s26_microcap@v1,sh600372,sell,500,18.15,5.0,4.54,filled,"s26_microcap@v1:600372不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s26_microcap@v1,sh600026,buy,1500,6.39,5.0,0.0,filled,s26_microcap@v1:买入600026(股息率3.1%),
2022-02-28,2022-03-01,s26_microcap@v1,sh601916,buy,2200,3.45,5.0,0.0,filled,s26_microcap@v1:买入601916(股息率4.7%)[行业银行Ⅱ≤25%缩放],
2022-02-28,2022-03-01,s26_microcap@v1,sz000999,buy,200,35.54,5.0,0.0,filled,s26_microcap@v1:买入000999(股息率0.0%),
2022-02-28,2022-03-01,s26_microcap@v1,sh600023,buy,2600,3.74,5.0,0.0,filled,s26_microcap@v1:买入600023(股息率6.0%),
2022-03-09,2022-03-10,s26_microcap@v1,sh600026,sell,1500,6.05,5.0,4.54,filled,"s26_microcap@v1:600026当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-15,2022-03-16,s26_microcap@v1,sz000975,sell,1000,8.19,5.0,4.1,filled,"s26_microcap@v1:000975当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-31,2022-04-01,s26_microcap@v1,sh601916,sell,2200,3.31,5.0,3.64,filled,"s26_microcap@v1:601916不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s26_microcap@v1,sh600023,sell,2600,3.37,5.0,4.38,filled,"s26_microcap@v1:600023不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s26_microcap@v1,sz002422,sell,400,17.11,5.0,3.42,filled,"s26_microcap@v1:002422不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s26_microcap@v1,sz000999,sell,200,44.12,5.0,4.41,filled,"s26_microcap@v1:000999不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s26_microcap@v1,sh600415,buy,1900,5.14,5.0,0.0,filled,s26_microcap@v1:买入600415(股息率1.1%),
2022-03-31,2022-04-01,s26_microcap@v1,sz000975,buy,1000,9.4,5.0,0.0,filled,s26_microcap@v1:买入000975(股息率0.0%),
2022-03-31,2022-04-01,s26_microcap@v1,sh601872,buy,2100,4.76,5.0,0.0,filled,s26_microcap@v1:买入601872(股息率2.6%),
2022-03-31,2022-04-01,s26_microcap@v1,sh600489,buy,1200,7.9,5.0,0.0,filled,s26_microcap@v1:买入600489(股息率2.0%),
2022-03-31,2022-04-01,s26_microcap@v1,sh600795,buy,3900,2.53,5.0,0.0,filled,s26_microcap@v1:买入600795(股息率1.6%),
2022-03-31,2022-04-01,s26_microcap@v1,sh601018,buy,2500,3.94,5.0,0.0,filled,s26_microcap@v1:买入601018(股息率2.1%),
2022-04-01,2022-04-06,s26_microcap@v1,sz000988,sell,300,19.72,5.0,2.96,filled,止损(浮亏-20.1%>20%),
2022-04-26,2022-04-27,s26_microcap@v1,sh600795,sell,3900,2.7,5.0,5.27,filled,"s26_microcap@v1:600795业绩由盈转亏(盈利硬着陆, 结构性排雷),清仓",
2022-04-29,2022-05-05,s26_microcap@v1,sh600489,sell,1200,7.14,5.0,4.28,filled,"s26_microcap@v1:600489不再满足选股门槛,卖出",
2022-04-29,2022-05-05,s26_microcap@v1,sh600372,buy,500,16.8,5.0,0.0,filled,s26_microcap@v1:买入600372(股息率0.6%),
2022-04-29,2022-05-05,s26_microcap@v1,sz000999,buy,200,36.56,5.0,0.0,filled,s26_microcap@v1:买入000999(股息率0.0%),
2022-04-29,2022-05-05,s26_microcap@v1,sh600674,buy,800,11.08,5.0,0.0,filled,s26_microcap@v1:买入600674(股息率3.4%),
2022-05-10,2022-05-11,s26_microcap@v1,sh601872,sell,2100,4.99,5.0,5.24,filled,"s26_microcap@v1:601872当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-05-31,2022-06-01,s26_microcap@v1,sh601018,sell,2500,4.01,5.0,5.01,filled,"s26_microcap@v1:601018不再满足选股门槛,卖出",
2022-05-31,2022-06-01,s26_microcap@v1,sz000999,sell,200,43.64,5.0,4.36,filled,"s26_microcap@v1:000999不再满足选股门槛,卖出",
2022-05-31,2022-06-01,s26_microcap@v1,sz002422,buy,400,17.66,5.0,0.0,filled,s26_microcap@v1:买入002422(股息率0.0%)[行业C 制造业≤25%缩放],
2022-05-31,2022-06-01,s26_microcap@v1,sz000988,buy,400,20.41,5.0,0.0,filled,s26_microcap@v1:买入000988(股息率0.0%)[行业C 制造业≤25%缩放],
2022-05-31,2022-06-01,s26_microcap@v1,sh601872,buy,1700,6.01,5.0,0.0,filled,s26_microcap@v1:买入601872(股息率2.0%),
2022-05-31,2022-06-01,s26_microcap@v1,sh601881,buy,1100,8.84,5.0,0.0,filled,s26_microcap@v1:买入601881(股息率2.5%),
