signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh600026,buy,1600,5.33,5.0,0.0,filled,s29_smallcap_select@v1:买入600026(股息率3.9%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh601077,buy,2300,3.89,5.0,0.0,filled,s29_smallcap_select@v1:买入601077(股息率5.8%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh601916,buy,2500,3.46,5.0,0.0,filled,s29_smallcap_select@v1:买入601916(股息率4.7%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh600803,buy,500,17.38,5.0,0.0,filled,s29_smallcap_select@v1:买入600803(股息率1.1%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sz000708,buy,300,22.29,5.0,0.0,filled,s29_smallcap_select@v1:买入000708(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh600039,buy,800,10.88,5.0,0.0,filled,s29_smallcap_select@v1:买入600039(股息率2.3%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sh601607,buy,400,19.08,5.0,0.0,filled,s29_smallcap_select@v1:买入601607(股息率2.5%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sz000975,buy,1000,8.31,5.0,0.0,filled,s29_smallcap_select@v1:买入000975(股息率0.0%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sz000630,buy,2400,3.41,5.0,0.0,filled,s29_smallcap_select@v1:买入000630(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-01-28,2022-02-07,s29_smallcap_select@v1,sz002422,buy,400,17.73,5.0,0.0,filled,s29_smallcap_select@v1:买入002422(股息率0.0%)[总仓≤90%缩放][行业C 制造业≤25%缩放],
2022-02-28,2022-03-01,s29_smallcap_select@v1,sh600039,sell,800,12.26,5.0,4.9,filled,"s29_smallcap_select@v1:600039不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s29_smallcap_select@v1,sz000630,sell,2400,3.95,5.0,4.74,filled,"s29_smallcap_select@v1:000630不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s29_smallcap_select@v1,sz000425,buy,0,0.0,0.0,0.0,cancelled,"s29_smallcap_select@v1:买入000425(股息率0.0%)[行业C 制造业≤25%缩放][<最低单笔5000元,跳过]",
2022-02-28,2022-03-01,s29_smallcap_select@v1,sh601838,buy,500,14.65,5.0,0.0,filled,s29_smallcap_select@v1:买入601838(股息率3.2%)[行业银行Ⅱ≤25%缩放],
2022-03-09,2022-03-10,s29_smallcap_select@v1,sh600026,sell,1600,6.05,5.0,4.84,filled,"s29_smallcap_select@v1:600026当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-15,2022-03-16,s29_smallcap_select@v1,sz000975,sell,1000,8.19,5.0,4.1,filled,"s29_smallcap_select@v1:000975当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-15,2022-03-16,s29_smallcap_select@v1,sz000708,sell,300,18.03,5.0,2.7,filled,止损(浮亏-20.2%>20%),
2022-03-31,2022-04-01,s29_smallcap_select@v1,sh601607,sell,400,23.6,5.0,4.72,filled,"s29_smallcap_select@v1:601607综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s29_smallcap_select@v1,sh601838,sell,500,14.79,5.0,3.7,filled,"s29_smallcap_select@v1:601838综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s29_smallcap_select@v1,sh601872,buy,2100,4.76,5.0,0.0,filled,s29_smallcap_select@v1:买入601872(股息率2.6%),
2022-03-31,2022-04-01,s29_smallcap_select@v1,sz000425,buy,1800,5.14,5.0,0.0,filled,s29_smallcap_select@v1:买入000425(股息率0.0%)[行业C 制造业≤25%缩放],
2022-03-31,2022-04-01,s29_smallcap_select@v1,sh600515,buy,2800,3.54,5.0,0.0,filled,s29_smallcap_select@v1:买入600515(股息率0.0%),
2022-03-31,2022-04-01,s29_smallcap_select@v1,sh600115,buy,2200,4.65,5.0,0.0,filled,s29_smallcap_select@v1:买入600115(股息率0.0%),
2022-03-31,2022-04-01,s29_smallcap_select@v1,sz000975,buy,1000,9.4,5.0,0.0,filled,s29_smallcap_select@v1:买入000975(股息率0.0%),
2022-03-31,2022-04-01,s29_smallcap_select@v1,sz000708,buy,400,19.73,5.0,0.0,filled,s29_smallcap_select@v1:买入000708(股息率0.0%)[行业C 制造业≤25%缩放],
2022-04-29,2022-05-05,s29_smallcap_select@v1,sh600515,sell,2800,3.5,5.0,4.9,filled,"s29_smallcap_select@v1:600515综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s29_smallcap_select@v1,sh600115,sell,2200,4.69,5.0,5.16,filled,"s29_smallcap_select@v1:600115综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s29_smallcap_select@v1,sz000425,sell,1800,4.97,5.0,4.47,filled,"s29_smallcap_select@v1:000425综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s29_smallcap_select@v1,sh601872,sell,2100,4.99,5.0,5.24,filled,"s29_smallcap_select@v1:601872综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s29_smallcap_select@v1,sz002384,buy,0,0.0,0.0,0.0,cancelled,"s29_smallcap_select@v1:买入002384(股息率0.0%)[行业C 制造业≤25%缩放][<最低单笔5000元,跳过]",
2022-04-29,2022-05-05,s29_smallcap_select@v1,sz002558,buy,1200,8.23,5.0,0.0,filled,s29_smallcap_select@v1:买入002558(股息率0.0%),
2022-04-29,2022-05-05,s29_smallcap_select@v1,sh600549,buy,600,15.62,5.0,0.0,filled,s29_smallcap_select@v1:买入600549(股息率1.0%),
2022-04-29,2022-05-05,s29_smallcap_select@v1,sh600415,buy,2000,5.07,5.0,0.0,filled,s29_smallcap_select@v1:买入600415(股息率1.1%),
2022-05-31,2022-06-01,s29_smallcap_select@v1,sh600549,sell,600,19.54,5.0,5.86,filled,"s29_smallcap_select@v1:600549综合排名掉出前10,卖出",
2022-05-31,2022-06-01,s29_smallcap_select@v1,sz002558,sell,1200,8.77,5.0,5.26,filled,"s29_smallcap_select@v1:002558综合排名掉出前10,卖出",
2022-05-31,2022-06-01,s29_smallcap_select@v1,sz002384,buy,500,18.79,5.0,0.0,filled,s29_smallcap_select@v1:买入002384(股息率0.0%),
2022-05-31,2022-06-01,s29_smallcap_select@v1,sh601021,buy,200,48.57,5.0,0.0,filled,s29_smallcap_select@v1:买入601021(股息率0.0%),
2022-05-31,2022-06-01,s29_smallcap_select@v1,sh600989,buy,600,15.52,5.0,0.0,filled,s29_smallcap_select@v1:买入600989(股息率1.7%),
2022-06-30,2022-07-01,s29_smallcap_select@v1,sz002384,sell,500,22.9,5.0,5.73,filled,"s29_smallcap_select@v1:002384不再满足选股门槛,卖出",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sh601021,sell,200,57.7,5.0,5.77,filled,"s29_smallcap_select@v1:601021综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sh600989,sell,600,14.63,5.0,4.39,filled,"s29_smallcap_select@v1:600989综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sz002422,sell,400,18.73,5.0,3.75,filled,"s29_smallcap_select@v1:002422综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sz000975,sell,1000,9.62,5.0,4.81,filled,"s29_smallcap_select@v1:000975综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sh601872,buy,1400,5.75,5.0,0.0,filled,s29_smallcap_select@v1:买入601872(股息率0.0%)[行业交通运输≤25%缩放],
2022-06-30,2022-07-01,s29_smallcap_select@v1,sz000988,buy,0,0.0,0.0,0.0,cancelled,"s29_smallcap_select@v1:买入000988(股息率0.0%)[行业C 制造业≤25%缩放][<最低单笔5000元,跳过]",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sz000425,buy,0,0.0,0.0,0.0,cancelled,"s29_smallcap_select@v1:买入000425(股息率0.0%)[行业C 制造业≤25%缩放][<最低单笔5000元,跳过]",
2022-06-30,2022-07-01,s29_smallcap_select@v1,sh600115,buy,1500,5.42,5.0,0.0,filled,s29_smallcap_select@v1:买入600115(股息率0.0%)[行业交通运输≤25%缩放],
2022-06-30,2022-07-01,s29_smallcap_select@v1,sh600362,buy,600,17.81,5.0,0.0,filled,s29_smallcap_select@v1:买入600362(股息率0.6%),
