signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-07,2022-01-10,s2_etf@v1,sh511010,buy,300,126.43,9.48,0.0,cut_liquidity,"动量轮动:买入最强 国债ETF(r20=0.6%)[流动性截断,原计划49000元仅成交42806元]",
2022-01-14,2022-01-17,s2_etf@v1,sh511010,sell,300,126.57,9.49,18.99,filled,动量轮动:卖出国债ETF,
2022-01-14,2022-01-17,s2_etf@v1,sh518880,buy,13400,3.64,12.19,0.0,filled,动量轮动:买入最强 黄金ETF(r20=2.0%),
2022-01-21,2022-01-24,s2_etf@v1,sh518880,sell,13400,3.66,12.26,24.52,filled,动量轮动:卖出黄金ETF,
2022-01-21,2022-01-24,s2_etf@v1,sh512890,buy,11700,0.83,5.0,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=2.5%)[流动性截断,原计划49219元仅成交9733元]",
2022-03-11,2022-03-14,s2_etf@v1,sh512890,sell,11700,0.8,5.0,4.68,filled,动量轮动:卖出红利低波ETF,
2022-03-11,2022-03-14,s2_etf@v1,sh518880,buy,12400,3.92,12.15,0.0,filled,动量轮动:买入最强 黄金ETF(r20=7.9%),
2022-04-01,2022-04-06,s2_etf@v1,sh518880,sell,12400,3.84,11.9,23.81,filled,动量轮动:卖出黄金ETF,
2022-04-01,2022-04-06,s2_etf@v1,sh512890,buy,42300,0.86,9.09,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=2.4%)[流动性截断,原计划47841元仅成交36391元]",
2022-04-22,2022-04-25,s2_etf@v1,sh512890,sell,42300,0.83,8.78,17.55,filled,动量轮动:卖出红利低波ETF,
2022-04-22,2022-04-25,s2_etf@v1,sh518880,buy,11800,3.93,11.59,0.0,filled,动量轮动:买入最强 黄金ETF(r20=2.9%),
2022-05-13,2022-05-16,s2_etf@v1,sh518880,sell,11800,3.88,11.45,22.89,filled,动量轮动:卖出黄金ETF,
2022-05-13,2022-05-16,s2_etf@v1,sh511010,buy,300,127.72,9.58,0.0,filled,动量轮动:买入最强 国债ETF(r20=0.3%),
2022-05-27,2022-05-30,s2_etf@v1,sh511010,sell,300,127.99,9.6,19.2,filled,动量轮动:卖出国债ETF,
2022-05-27,2022-05-30,s2_etf@v1,sh512890,buy,52200,0.85,11.09,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=6.2%)[流动性截断,原计划45981元仅成交44387元]",
2022-06-17,2022-06-20,s2_etf@v1,sh512890,sell,52200,0.83,10.83,21.66,filled,动量轮动:卖出红利低波ETF,
2022-06-17,2022-06-20,s2_etf@v1,sh510500,buy,6200,7.18,11.13,0.0,filled,动量轮动:买入最强 中证500ETF(r20=9.0%),
2022-06-24,2022-06-27,s2_etf@v1,sh510500,sell,6200,7.26,11.25,22.51,filled,动量轮动:卖出中证500ETF,
2022-06-24,2022-06-27,s2_etf@v1,sh510300,buy,10200,4.43,11.3,0.0,filled,动量轮动:买入最强 沪深300ETF(r20=10.5%),
2022-07-15,2022-07-18,s2_etf@v1,sh510300,sell,10200,4.31,10.99,21.98,filled,动量轮动:卖出沪深300ETF,
2022-07-15,2022-07-18,s2_etf@v1,sh511010,buy,300,128.08,9.61,0.0,filled,动量轮动:买入最强 国债ETF(r20=0.2%),
2022-08-05,2022-08-08,s2_etf@v1,sh511010,sell,300,128.75,9.66,19.31,filled,动量轮动:卖出国债ETF,
2022-08-05,2022-08-08,s2_etf@v1,sh513100,buy,48600,0.91,11.06,0.0,filled,动量轮动:买入最强 纳指ETF(r20=9.5%),
2022-09-01,2022-09-02,s2_etf@v1,sh513100,sell,48600,0.86,10.45,20.9,filled,熔断清仓(回撤15.9%),
2022-09-02,2022-09-05,s2_etf@v1,sh511010,buy,300,129.64,9.72,0.0,filled,动量轮动:买入最强 国债ETF(r20=0.7%),
2022-09-09,2022-09-13,s2_etf@v1,sh511010,sell,300,129.43,9.71,19.41,filled,动量轮动:卖出国债ETF,
2022-09-09,2022-09-13,s2_etf@v1,sh512890,buy,46300,0.9,10.42,0.0,filled,动量轮动:买入最强 红利低波ETF(r20=8.5%),
2022-09-30,2022-10-10,s2_etf@v1,sh512890,sell,46300,0.83,9.61,19.21,filled,动量轮动:卖出红利低波ETF,
2022-09-30,2022-10-10,s2_etf@v1,sh518880,buy,10000,3.83,9.58,0.0,filled,动量轮动:买入最强 黄金ETF(r20=1.3%),
2022-11-25,2022-11-28,s2_etf@v1,sh518880,sell,10000,3.97,9.93,19.85,filled,动量轮动:卖出黄金ETF,
2022-11-25,2022-11-28,s2_etf@v1,sh512890,buy,44600,0.84,9.37,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=7.6%)[流动性截断,原计划39870元仅成交37482元]",
2022-12-02,2022-12-05,s2_etf@v1,sh512890,sell,44600,0.85,9.48,18.96,filled,动量轮动:卖出红利低波ETF,
2022-12-02,2022-12-05,s2_etf@v1,sh518880,buy,10100,3.97,10.02,0.0,filled,动量轮动:买入最强 黄金ETF(r20=4.7%),
2022-12-09,2022-12-12,s2_etf@v1,sh518880,sell,10100,3.93,9.92,19.85,filled,动量轮动:卖出黄金ETF,
2022-12-09,2022-12-12,s2_etf@v1,sh510300,buy,9800,4.05,9.92,0.0,filled,动量轮动:买入最强 沪深300ETF(r20=5.5%),
2022-12-30,2023-01-03,s2_etf@v1,sh510300,sell,9800,3.94,9.65,19.31,filled,动量轮动:卖出沪深300ETF,
2022-12-30,2023-01-03,s2_etf@v1,sh518880,buy,9700,3.98,9.65,0.0,filled,动量轮动:买入最强 黄金ETF(r20=0.3%),
2023-01-06,2023-01-09,s2_etf@v1,sh518880,sell,9700,4.01,9.72,19.45,filled,动量轮动:卖出黄金ETF,
2023-01-06,2023-01-09,s2_etf@v1,sh510300,buy,9500,4.07,9.67,0.0,filled,动量轮动:买入最强 沪深300ETF(r20=0.7%),
2023-02-03,2023-02-06,s2_etf@v1,sh510300,sell,9500,4.1,9.74,19.48,filled,动量轮动:卖出沪深300ETF,
2023-02-03,2023-02-06,s2_etf@v1,sh513100,buy,45000,0.87,9.79,0.0,filled,动量轮动:买入最强 纳指ETF(r20=8.7%),
2023-02-24,2023-02-27,s2_etf@v1,sh513100,sell,45000,0.85,9.56,19.13,filled,动量轮动:卖出纳指ETF,
2023-02-24,2023-02-27,s2_etf@v1,sh512890,buy,40800,0.88,8.98,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=3.5%)[流动性截断,原计划38309元仅成交35962元]",
2023-03-10,2023-03-13,s2_etf@v1,sh512890,sell,40800,0.87,8.87,17.75,filled,动量轮动:卖出红利低波ETF,
2023-03-10,2023-03-13,s2_etf@v1,sh518880,buy,9200,4.11,9.45,0.0,filled,动量轮动:买入最强 黄金ETF(r20=1.8%),
2023-03-17,2023-03-20,s2_etf@v1,sh518880,sell,9200,4.27,9.82,19.64,filled,动量轮动:卖出黄金ETF,
2023-03-17,2023-03-20,s2_etf@v1,sh512890,buy,40700,0.9,9.16,0.0,cut_liquidity,"动量轮动:买入最强 红利低波ETF(r20=5.9%)[流动性截断,原计划39279元仅成交36671元]",
2023-03-31,2023-04-03,s2_etf@v1,sh512890,sell,40700,0.89,9.06,18.11,filled,动量轮动:卖出红利低波ETF,
2023-03-31,2023-04-03,s2_etf@v1,sh513100,buy,42200,0.92,9.71,0.0,filled,动量轮动:买入最强 纳指ETF(r20=7.1%),
2023-04-07,2023-04-10,s2_etf@v1,sh513100,sell,42200,0.91,9.6,19.2,filled,动量轮动:卖出纳指ETF,
2023-04-07,2023-04-10,s2_etf@v1,sh518880,buy,8900,4.3,9.57,0.0,filled,动量轮动:买入最强 黄金ETF(r20=7.4%),
2023-04-14,2023-04-17,s2_etf@v1,sh518880,sell,8900,4.29,9.55,19.09,filled,动量轮动:卖出黄金ETF,
2023-04-14,2023-04-17,s2_etf@v1,sh513100,buy,41500,0.92,9.55,0.0,filled,动量轮动:买入最强 纳指ETF(r20=5.8%),
2023-04-28,2023-05-04,s2_etf@v1,sh513100,sell,41500,0.92,9.55,19.09,filled,动量轮动:卖出纳指ETF,
2023-04-28,2023-05-04,s2_etf@v1,sh512890,buy,39800,0.96,9.55,0.0,filled,动量轮动:买入最强 红利低波ETF(r20=9.1%),
2023-05-19,2023-05-22,s2_etf@v1,sh512890,sell,39800,0.94,9.35,18.71,filled,动量轮动:卖出红利低波ETF,
2023-05-19,2023-05-22,s2_etf@v1,sh513100,buy,37700,0.99,9.33,0.0,filled,动量轮动:买入最强 纳指ETF(r20=8.8%),
2023-08-04,2023-08-07,s2_etf@v1,sh513100,sell,37700,1.12,10.56,21.11,filled,动量轮动:卖出纳指ETF,
2023-08-04,2023-08-07,s2_etf@v1,sh510300,buy,10300,4.08,10.51,0.0,filled,动量轮动:买入最强 沪深300ETF(r20=5.7%),
2023-08-11,2023-08-14,s2_etf@v1,sh510300,sell,10300,3.92,10.09,20.19,filled,动量轮动:卖出沪深300ETF,
2023-08-11,2023-08-14,s2_etf@v1,sh518880,buy,9100,4.42,10.06,0.0,filled,动量轮动:买入最强 黄金ETF(r20=0.7%),
2023-08-18,2023-08-21,s2_etf@v1,sh518880,sell,9100,4.42,10.06,20.11,filled,动量轮动:卖出黄金ETF,
2023-08-18,2023-08-21,s2_etf@v1,sh512890,buy,43000,0.94,10.11,0.0,filled,动量轮动:买入最强 红利低波ETF(r20=1.1%),
2023-08-25,2023-08-28,s2_etf@v1,sh512890,sell,43000,0.97,10.43,20.86,filled,动量轮动:卖出红利低波ETF,
2023-08-25,2023-08-28,s2_etf@v1,sh518880,buy,9300,4.44,10.32,0.0,filled,动量轮动:买入最强 黄金ETF(r20=1.1%),
2023-09-15,2023-09-18,s2_etf@v1,sh518880,sell,9300,4.54,10.56,21.11,filled,动量轮动:卖出黄金ETF,
2023-09-15,2023-09-18,s2_etf@v1,sh512890,buy,44800,0.95,10.64,0.0,filled,动量轮动:买入最强 红利低波ETF(r20=1.1%),
2023-10-20,2023-10-23,s2_etf@v1,sh512890,sell,44800,0.93,10.42,20.83,filled,动量轮动:卖出红利低波ETF,
2023-10-20,2023-10-23,s2_etf@v1,sh518880,buy,9100,4.57,10.4,0.0,filled,动量轮动:买入最强 黄金ETF(r20=0.2%),
2023-11-17,2023-11-20,s2_etf@v1,sh518880,sell,9100,4.54,10.33,20.66,filled,动量轮动:卖出黄金ETF,
2023-11-17,2023-11-20,s2_etf@v1,sh513100,buy,35900,1.15,10.32,0.0,filled,动量轮动:买入最强 纳指ETF(r20=6.4%),
2024-01-05,2024-01-08,s2_etf@v1,sh513100,sell,35900,1.18,10.59,21.18,filled,动量轮动:卖出纳指ETF,
2024-01-05,2024-01-08,s2_etf@v1,sh518880,buy,9000,4.67,10.51,0.0,filled,动量轮动:买入最强 黄金ETF(r20=1.7%),
2024-01-12,2024-01-15,s2_etf@v1,sh518880,sell,9000,4.66,10.49,20.97,filled,动量轮动:卖出黄金ETF,
2024-01-12,2024-01-15,s2_etf@v1,sh513100,buy,34600,1.22,10.55,0.0,filled,动量轮动:买入最强 纳指ETF(r20=1.7%),
2024-01-26,2024-01-29,s2_etf@v1,sh513100,sell,34600,1.26,10.9,21.8,filled,动量轮动:卖出纳指ETF,
2024-01-26,2024-01-29,s2_etf@v1,sh512890,buy,44800,0.97,10.86,0.0,filled,动量轮动:买入最强 红利低波ETF(r20=6.6%),
2024-02-02,2024-02-05,s2_etf@v1,sh512890,sell,44800,0.94,10.53,21.06,filled,动量轮动:卖出红利低波ETF,
