signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601328,buy,1700,4.8,5.0,0.0,filled,s32_roe_quality@v1:买入601328(股息率6.7%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601988,buy,2600,3.11,5.0,0.0,filled,s32_roe_quality@v1:买入601988(股息率6.4%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601169,buy,1800,4.54,5.0,0.0,filled,s32_roe_quality@v1:买入601169(股息率6.7%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601668,buy,1500,5.28,5.0,0.0,filled,s32_roe_quality@v1:买入601668(股息率4.1%)[总仓≤90%缩放][行业建筑建材≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601006,buy,1300,6.63,5.0,0.0,filled,s32_roe_quality@v1:买入601006(股息率7.3%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601390,buy,1300,6.36,5.0,0.0,filled,s32_roe_quality@v1:买入601390(股息率2.9%)[总仓≤90%缩放][行业建筑建材≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601186,buy,1000,8.21,5.0,0.0,filled,s32_roe_quality@v1:买入601186(股息率2.9%)[总仓≤90%缩放][行业建筑建材≤25%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601229,buy,1200,7.08,5.0,0.0,filled,s32_roe_quality@v1:买入601229(股息率5.7%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh601077,buy,2300,3.89,5.0,0.0,filled,s32_roe_quality@v1:买入601077(股息率5.8%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s32_roe_quality@v1,sh600028,buy,2100,4.26,5.0,0.0,filled,s32_roe_quality@v1:买入600028(股息率6.9%)[总仓≤90%缩放],
2022-02-28,2022-03-01,s32_roe_quality@v1,sh600028,sell,2100,4.31,5.0,4.53,filled,"s32_roe_quality@v1:600028综合排名掉出前10,卖出",
2022-02-28,2022-03-01,s32_roe_quality@v1,sh601916,buy,2100,3.45,5.0,0.0,filled,s32_roe_quality@v1:买入601916(股息率4.7%)[行业银行Ⅱ≤25%缩放],
2022-03-31,2022-04-01,s32_roe_quality@v1,sh601916,sell,2100,3.31,5.0,3.48,filled,"s32_roe_quality@v1:601916不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s32_roe_quality@v1,sh601229,sell,1200,6.59,5.0,3.95,filled,"s32_roe_quality@v1:601229不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s32_roe_quality@v1,sh600028,buy,2200,4.33,5.0,0.0,filled,s32_roe_quality@v1:买入600028(股息率6.7%),
2022-03-31,2022-04-01,s32_roe_quality@v1,sh600019,buy,1400,6.73,5.0,0.0,filled,s32_roe_quality@v1:买入600019(股息率9.6%),
2022-04-29,2022-05-05,s32_roe_quality@v1,sh600019,sell,1400,6.44,5.0,4.51,filled,"s32_roe_quality@v1:600019不再满足选股门槛,卖出",
2022-04-29,2022-05-05,s32_roe_quality@v1,sh601857,buy,1800,5.42,5.0,0.0,filled,s32_roe_quality@v1:买入601857(股息率4.0%),
2022-06-30,2022-07-01,s32_roe_quality@v1,sh601390,sell,1300,6.18,5.0,4.02,filled,"s32_roe_quality@v1:601390综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s32_roe_quality@v1,sh601169,sell,1800,4.53,5.0,4.08,filled,"s32_roe_quality@v1:601169综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s32_roe_quality@v1,sh601658,buy,1800,5.4,5.0,0.0,filled,s32_roe_quality@v1:买入601658(股息率3.9%),
2022-07-29,2022-08-01,s32_roe_quality@v1,sh601658,sell,1800,4.69,5.0,4.22,filled,"s32_roe_quality@v1:601658综合排名掉出前10,卖出",
2022-07-29,2022-08-01,s32_roe_quality@v1,sh601857,sell,1800,5.19,5.0,4.67,filled,"s32_roe_quality@v1:601857综合排名掉出前10,卖出",
2022-07-29,2022-08-01,s32_roe_quality@v1,sh601288,buy,3000,2.84,5.0,0.0,filled,s32_roe_quality@v1:买入601288(股息率7.3%)[行业金融行业≤25%缩放],
2022-07-29,2022-08-01,s32_roe_quality@v1,sh601390,buy,1600,5.8,5.0,0.0,filled,s32_roe_quality@v1:买入601390(股息率3.4%)[行业建筑建材≤25%缩放],
2022-07-29,2022-08-01,s32_roe_quality@v1,sh600018,buy,1700,5.42,5.0,0.0,filled,s32_roe_quality@v1:买入600018(股息率0.0%),
2022-08-31,2022-09-01,s32_roe_quality@v1,sh601328,sell,1700,4.56,5.0,3.88,filled,"s32_roe_quality@v1:601328综合排名掉出前10,卖出",
2022-08-31,2022-09-01,s32_roe_quality@v1,sh600018,sell,1700,5.41,5.0,4.6,filled,"s32_roe_quality@v1:600018综合排名掉出前10,卖出",
2022-08-31,2022-09-01,s32_roe_quality@v1,sh601390,sell,1600,5.74,5.0,4.59,filled,"s32_roe_quality@v1:601390综合排名掉出前10,卖出",
2022-08-31,2022-09-01,s32_roe_quality@v1,sh601169,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601169(股息率7.4%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2022-08-31,2022-09-01,s32_roe_quality@v1,sh601658,buy,2100,4.5,5.0,0.0,filled,s32_roe_quality@v1:买入601658(股息率5.5%),
2022-08-31,2022-09-01,s32_roe_quality@v1,sh601857,buy,1800,5.33,5.0,0.0,filled,s32_roe_quality@v1:买入601857(股息率4.2%),
2022-09-30,2022-10-10,s32_roe_quality@v1,sh601658,sell,2100,4.24,5.0,4.45,filled,"s32_roe_quality@v1:601658综合排名掉出前10,卖出",
2022-09-30,2022-10-10,s32_roe_quality@v1,sh601169,buy,1900,4.12,5.0,0.0,filled,s32_roe_quality@v1:买入601169(股息率7.4%)[行业金融行业≤25%缩放],
2022-09-30,2022-10-10,s32_roe_quality@v1,sh601319,buy,1900,5.03,5.0,0.0,filled,s32_roe_quality@v1:买入601319(股息率3.3%),
2022-10-31,2022-11-01,s32_roe_quality@v1,sh601319,sell,1900,4.86,5.0,4.62,filled,"s32_roe_quality@v1:601319综合排名掉出前10,卖出",
2022-10-31,2022-11-01,s32_roe_quality@v1,sh601186,sell,1000,6.86,5.0,3.43,filled,"s32_roe_quality@v1:601186不再满足选股门槛,卖出",
2022-10-31,2022-11-01,s32_roe_quality@v1,sh600919,buy,1100,6.93,5.0,0.0,filled,s32_roe_quality@v1:买入600919(股息率5.8%)[行业银行Ⅱ≤25%缩放],
2022-10-31,2022-11-01,s32_roe_quality@v1,sh601838,buy,500,13.64,5.0,0.0,filled,s32_roe_quality@v1:买入601838(股息率4.6%)[行业银行Ⅱ≤25%缩放],
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601169,sell,1900,4.31,5.0,4.09,filled,"s32_roe_quality@v1:601169综合排名掉出前10,卖出",
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601857,sell,1800,5.26,5.0,4.73,filled,"s32_roe_quality@v1:601857综合排名掉出前10,卖出",
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601838,sell,500,15.38,5.0,3.85,filled,"s32_roe_quality@v1:601838综合排名掉出前10,卖出",
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601328,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601328(股息率7.5%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601186,buy,1000,8.14,5.0,0.0,filled,s32_roe_quality@v1:买入601186(股息率3.0%)[行业建筑建材≤25%缩放],
2022-11-30,2022-12-01,s32_roe_quality@v1,sh601390,buy,1300,5.93,5.0,0.0,filled,s32_roe_quality@v1:买入601390(股息率3.3%)[行业建筑建材≤25%缩放],
2022-12-30,2023-01-03,s32_roe_quality@v1,sh600919,sell,1100,7.28,5.0,4.0,filled,"s32_roe_quality@v1:600919综合排名掉出前10,卖出",
2022-12-30,2023-01-03,s32_roe_quality@v1,sh601390,sell,1300,5.53,5.0,3.59,filled,"s32_roe_quality@v1:601390综合排名掉出前10,卖出",
2022-12-30,2023-01-03,s32_roe_quality@v1,sh601169,buy,1800,4.33,5.0,0.0,filled,s32_roe_quality@v1:买入601169(股息率7.1%)[行业金融行业≤25%缩放],
2022-12-30,2023-01-03,s32_roe_quality@v1,sh601857,buy,1900,4.99,5.0,0.0,filled,s32_roe_quality@v1:买入601857(股息率6.0%),
2022-12-30,2023-01-03,s32_roe_quality@v1,sh600018,buy,1800,5.37,5.0,0.0,filled,s32_roe_quality@v1:买入600018(股息率3.6%),
2023-01-31,2023-02-01,s32_roe_quality@v1,sh600018,sell,1800,5.34,5.0,4.81,filled,"s32_roe_quality@v1:600018综合排名掉出前10,卖出",
2023-01-31,2023-02-01,s32_roe_quality@v1,sh601186,sell,1000,7.92,5.0,3.96,filled,"s32_roe_quality@v1:601186综合排名掉出前10,卖出",
2023-01-31,2023-02-01,s32_roe_quality@v1,sh601169,sell,1800,4.24,5.0,3.82,filled,"s32_roe_quality@v1:601169综合排名掉出前10,卖出",
2023-01-31,2023-02-01,s32_roe_quality@v1,sh601328,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601328(股息率7.3%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2023-01-31,2023-02-01,s32_roe_quality@v1,sh601229,buy,1600,6.01,5.0,0.0,filled,s32_roe_quality@v1:买入601229(股息率6.7%),
2023-01-31,2023-02-01,s32_roe_quality@v1,sz000651,buy,200,34.85,5.0,0.0,filled,s32_roe_quality@v1:买入000651(股息率8.7%),
2023-02-28,2023-03-01,s32_roe_quality@v1,sz000651,sell,200,35.47,5.0,3.55,filled,"s32_roe_quality@v1:000651综合排名掉出前10,卖出",
2023-02-28,2023-03-01,s32_roe_quality@v1,sh601229,sell,1600,5.96,5.0,4.77,filled,"s32_roe_quality@v1:601229不再满足选股门槛,卖出",
2023-02-28,2023-03-01,s32_roe_quality@v1,sh601328,buy,1600,4.91,5.0,0.0,filled,s32_roe_quality@v1:买入601328(股息率7.2%)[行业金融行业≤25%缩放],
2023-02-28,2023-03-01,s32_roe_quality@v1,sh600919,buy,1000,7.2,5.0,0.0,filled,s32_roe_quality@v1:买入600919(股息率5.6%)[行业银行Ⅱ≤25%缩放],
2023-02-28,2023-03-01,s32_roe_quality@v1,sh601186,buy,1200,8.1,5.0,0.0,filled,s32_roe_quality@v1:买入601186(股息率3.0%),
2023-03-31,2023-04-03,s32_roe_quality@v1,sh600919,sell,1000,7.0,5.0,3.5,filled,"s32_roe_quality@v1:600919综合排名掉出前10,卖出",
2023-03-31,2023-04-03,s32_roe_quality@v1,sh601186,sell,1200,9.0,5.0,5.4,filled,"s32_roe_quality@v1:601186综合排名掉出前10,卖出",
2023-03-31,2023-04-03,s32_roe_quality@v1,sh601668,sell,1500,5.78,5.0,4.34,filled,"s32_roe_quality@v1:601668综合排名掉出前10,卖出",
2023-03-31,2023-04-03,s32_roe_quality@v1,sh601229,buy,1700,6.01,5.0,0.0,filled,s32_roe_quality@v1:买入601229(股息率6.7%),
2023-03-31,2023-04-03,s32_roe_quality@v1,sh601727,buy,2300,4.43,5.0,0.0,filled,s32_roe_quality@v1:买入601727(股息率0.0%),
2023-03-31,2023-04-03,s32_roe_quality@v1,sz000651,buy,200,36.91,5.0,0.0,filled,s32_roe_quality@v1:买入000651(股息率10.9%),
2023-04-28,2023-05-04,s32_roe_quality@v1,sh601727,sell,2300,4.65,5.0,5.35,filled,"s32_roe_quality@v1:601727综合排名掉出前10,卖出",
2023-04-28,2023-05-04,s32_roe_quality@v1,sh601328,sell,1600,5.58,5.0,4.46,filled,"s32_roe_quality@v1:601328综合排名掉出前10,卖出",
2023-04-28,2023-05-04,s32_roe_quality@v1,sh601169,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601169(股息率6.4%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2023-04-28,2023-05-04,s32_roe_quality@v1,sh600023,buy,2600,4.5,5.0,0.0,filled,s32_roe_quality@v1:买入600023(股息率0.0%),
2023-05-04,2023-05-05,s32_roe_quality@v1,sz000651,sell,200,35.35,5.0,3.54,filled,"s32_roe_quality@v1:000651当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601288,sell,3000,3.49,5.0,5.24,filled,"s32_roe_quality@v1:601288综合排名掉出前10,卖出",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601988,sell,2600,3.89,5.0,5.06,filled,"s32_roe_quality@v1:601988综合排名掉出前10,卖出",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601857,sell,1900,7.52,5.0,7.14,filled,"s32_roe_quality@v1:601857综合排名掉出前10,卖出",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601169,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601169(股息率6.4%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601328,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入601328(股息率6.1%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2023-05-31,2023-06-01,s32_roe_quality@v1,sh600015,buy,0,0.0,0.0,0.0,cancelled,"s32_roe_quality@v1:买入600015(股息率5.8%)[行业金融行业≤25%缩放][<最低单笔5000元,跳过]",
2023-05-31,2023-06-01,s32_roe_quality@v1,sz000651,buy,300,32.95,5.0,0.0,filled,s32_roe_quality@v1:买入000651(股息率9.1%),
2023-05-31,2023-06-01,s32_roe_quality@v1,sh601727,buy,2400,4.76,5.0,0.0,filled,s32_roe_quality@v1:买入601727(股息率0.0%),
2023-06-30,2023-07-03,s32_roe_quality@v1,sh601727,sell,2400,4.56,5.0,5.47,filled,"s32_roe_quality@v1:601727综合排名掉出前10,卖出",
2023-06-30,2023-07-03,s32_roe_quality@v1,sz000651,sell,300,36.47,5.0,5.47,filled,"s32_roe_quality@v1:000651综合排名掉出前10,卖出",
2023-06-30,2023-07-03,s32_roe_quality@v1,sh601169,buy,2100,4.65,5.0,0.0,filled,s32_roe_quality@v1:买入601169(股息率6.6%)[行业金融行业≤25%缩放],
2023-06-30,2023-07-03,s32_roe_quality@v1,sh600015,buy,1800,5.43,5.0,0.0,filled,s32_roe_quality@v1:买入600015(股息率7.1%)[行业金融行业≤25%缩放],
2023-06-30,2023-07-03,s32_roe_quality@v1,sh601328,buy,1700,5.85,5.0,0.0,filled,s32_roe_quality@v1:买入601328(股息率6.1%)[行业金融行业≤25%缩放],
