signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s37_earnings_accel@v1,sh600674,buy,1000,11.21,5.0,0.0,filled,s37_earnings_accel@v1:买入600674(股息率3.4%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sz002558,buy,1100,9.92,5.0,0.0,filled,s37_earnings_accel@v1:买入002558(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sz000975,buy,1300,8.31,5.0,0.0,filled,s37_earnings_accel@v1:买入000975(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sh601607,buy,500,19.08,5.0,0.0,filled,s37_earnings_accel@v1:买入601607(股息率2.5%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sh600233,buy,600,16.15,5.0,0.0,filled,s37_earnings_accel@v1:买入600233(股息率0.9%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sz002236,buy,500,19.51,5.0,0.0,filled,s37_earnings_accel@v1:买入002236(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sh601838,buy,700,14.17,5.0,0.0,filled,s37_earnings_accel@v1:买入601838(股息率3.3%)[单票上限12%削仓][总仓≤90%缩放],
2022-01-28,2022-02-07,s37_earnings_accel@v1,sh600886,buy,1100,9.91,5.0,0.0,filled,s37_earnings_accel@v1:买入600886(股息率2.8%)[单票上限12%削仓][总仓≤90%缩放],
2022-02-28,2022-03-01,s37_earnings_accel@v1,sz002236,sell,500,18.86,5.0,4.72,filled,"s37_earnings_accel@v1:002236综合排名掉出前8,卖出",
2022-02-28,2022-03-01,s37_earnings_accel@v1,sz000975,sell,1300,9.1,5.0,5.92,filled,"s37_earnings_accel@v1:000975不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s37_earnings_accel@v1,sz000100,buy,2200,5.57,5.0,0.0,filled,s37_earnings_accel@v1:买入000100(股息率0.0%)[单票上限12%削仓],
2022-02-28,2022-03-01,s37_earnings_accel@v1,sh601939,buy,2000,6.06,5.0,0.0,filled,s37_earnings_accel@v1:买入601939(股息率5.4%)[单票上限12%削仓],
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh601607,sell,500,23.6,5.0,5.9,filled,"s37_earnings_accel@v1:601607综合排名掉出前8,卖出",
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh600233,sell,600,17.11,5.0,5.13,filled,"s37_earnings_accel@v1:600233综合排名掉出前8,卖出",
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh600886,sell,1100,9.28,5.0,5.1,filled,"s37_earnings_accel@v1:600886综合排名掉出前8,卖出",
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh601838,sell,700,14.79,5.0,5.18,filled,"s37_earnings_accel@v1:601838综合排名掉出前8,卖出",
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh600183,buy,700,16.09,5.0,0.0,filled,s37_earnings_accel@v1:买入600183(股息率2.5%)[单票上限12%削仓],
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh601077,buy,1800,3.97,5.0,0.0,filled,s37_earnings_accel@v1:买入601077(股息率5.6%)[单票上限12%削仓][行业银行Ⅱ≤25%缩放],
2022-03-31,2022-04-01,s37_earnings_accel@v1,sh601658,buy,1400,5.38,5.0,0.0,filled,s37_earnings_accel@v1:买入601658(股息率3.9%)[单票上限12%削仓][行业银行Ⅱ≤25%缩放],
2022-03-31,2022-04-01,s37_earnings_accel@v1,sz000988,buy,600,20.04,5.0,0.0,filled,s37_earnings_accel@v1:买入000988(股息率0.0%)[单票上限12%削仓],
2022-04-29,2022-05-05,s37_earnings_accel@v1,sh601658,sell,1400,5.56,5.0,3.89,filled,"s37_earnings_accel@v1:601658综合排名掉出前8,卖出",
2022-04-29,2022-05-05,s37_earnings_accel@v1,sh600674,sell,1000,11.04,5.0,5.52,filled,"s37_earnings_accel@v1:600674综合排名掉出前8,卖出",
2022-04-29,2022-05-05,s37_earnings_accel@v1,sz000988,sell,600,16.67,5.0,5.0,filled,"s37_earnings_accel@v1:000988综合排名掉出前8,卖出",
2022-04-29,2022-05-05,s37_earnings_accel@v1,sz000425,buy,0,0.0,0.0,0.0,cancelled,"s37_earnings_accel@v1:买入000425(股息率0.0%)[单票上限12%削仓][行业C 制造业≤25%缩放][<最低单笔5000元,跳过]",
2022-04-29,2022-05-05,s37_earnings_accel@v1,sh601838,buy,500,16.78,5.0,0.0,filled,s37_earnings_accel@v1:买入601838(股息率2.7%)[单票上限12%削仓][行业银行Ⅱ≤25%缩放],
2022-04-29,2022-05-05,s37_earnings_accel@v1,sh600741,buy,500,20.05,5.0,0.0,filled,s37_earnings_accel@v1:买入600741(股息率3.8%)[单票上限12%削仓],
2022-05-31,2022-06-01,s37_earnings_accel@v1,sz002558,sell,1100,8.77,5.0,4.82,filled,"s37_earnings_accel@v1:002558综合排名掉出前8,卖出",
