signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-04,2022-01-05,s3_ma_trend@v1,sh600115,buy,1400,5.28,5.0,0.0,filled,"MA20上穿MA60+放量,买入中国东航[单票上限15%削仓]",
2022-01-05,2022-01-06,s3_ma_trend@v1,sh600029,buy,1000,7.34,5.0,0.0,filled,"MA20上穿MA60+放量,买入南方航空[单票上限15%削仓]",
2022-01-05,2022-01-06,s3_ma_trend@v1,sh601988,buy,2400,3.08,5.0,0.0,filled,"MA20上穿MA60+放量,买入中国银行[单票上限15%削仓]",
2022-01-06,2022-01-07,s3_ma_trend@v1,sz000157,buy,1000,7.41,5.0,0.0,filled,"MA20上穿MA60+放量,买入中联重科[单票上限15%削仓]",
2022-01-07,2022-01-10,s3_ma_trend@v1,sh601939,buy,1200,6.14,5.0,0.0,filled,"MA20上穿MA60+放量,买入建设银行[单票上限15%削仓]",
2022-01-07,2022-01-10,s3_ma_trend@v1,sz000425,buy,1200,6.26,5.0,0.0,filled,"MA20上穿MA60+放量,买入徐工机械[单票上限15%削仓]",
2022-01-14,2022-01-17,s3_ma_trend@v1,sz000425,sell,1200,6.0,5.0,3.6,filled,"跌破MA20,清仓徐工机械",
2022-01-14,2022-01-17,s3_ma_trend@v1,sz000630,buy,2000,3.67,5.0,0.0,filled,"MA20上穿MA60+放量,买入铜陵有色[单票上限15%削仓]",
2022-01-25,2022-01-26,s3_ma_trend@v1,sh601939,sell,1200,5.98,5.0,3.59,filled,"跌破MA20,清仓建设银行",
2022-01-25,2022-01-26,s3_ma_trend@v1,sh601988,sell,2400,3.09,5.0,3.71,filled,"跌破MA20,清仓中国银行",
2022-01-25,2022-01-26,s3_ma_trend@v1,sz000157,sell,1000,7.1,5.0,3.55,filled,"跌破MA20,清仓中联重科",
2022-01-25,2022-01-26,s3_ma_trend@v1,sz000630,sell,2000,3.44,5.0,3.44,filled,"跌破MA20,清仓铜陵有色",
