signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601077,buy,2100,3.89,5.0,0.0,filled,s42_sue_enriched@v1:买入601077(股息率5.8%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601838,buy,500,14.17,5.0,0.0,filled,s42_sue_enriched@v1:买入601838(股息率3.3%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601916,buy,2400,3.46,5.0,0.0,filled,s42_sue_enriched@v1:买入601916(股息率4.7%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh600039,buy,800,10.88,5.0,0.0,filled,s42_sue_enriched@v1:买入600039(股息率2.3%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh600803,buy,500,17.38,5.0,0.0,filled,s42_sue_enriched@v1:买入600803(股息率1.1%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh600026,buy,1600,5.33,5.0,0.0,filled,s42_sue_enriched@v1:买入600026(股息率3.9%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601607,buy,400,19.08,5.0,0.0,filled,s42_sue_enriched@v1:买入601607(股息率2.5%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sz000999,buy,200,34.95,5.0,0.0,filled,s42_sue_enriched@v1:买入000999(股息率0.0%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601018,buy,2200,4.0,5.0,0.0,filled,s42_sue_enriched@v1:买入601018(股息率2.1%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s42_sue_enriched@v1,sh601939,buy,1400,6.04,5.0,0.0,filled,s42_sue_enriched@v1:买入601939(股息率5.4%)[总仓≤90%缩放],
2022-02-11,2022-02-14,s42_sue_enriched@v1,sz000999,sell,200,33.88,5.0,3.39,filled,"s42_sue_enriched@v1:000999当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-02-28,2022-03-01,s42_sue_enriched@v1,sh600039,sell,800,12.26,5.0,4.9,filled,"s42_sue_enriched@v1:600039不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s42_sue_enriched@v1,sh601018,sell,2200,4.18,5.0,4.6,filled,"s42_sue_enriched@v1:601018不再满足选股门槛,卖出",
2022-02-28,2022-03-01,s42_sue_enriched@v1,sz000999,buy,200,35.54,5.0,0.0,filled,s42_sue_enriched@v1:买入000999(股息率0.0%),
2022-02-28,2022-03-01,s42_sue_enriched@v1,sh600015,buy,1700,5.64,5.0,0.0,filled,s42_sue_enriched@v1:买入600015(股息率5.3%),
2022-02-28,2022-03-01,s42_sue_enriched@v1,sz000975,buy,1100,9.12,5.0,0.0,filled,s42_sue_enriched@v1:买入000975(股息率0.0%),
2022-03-09,2022-03-10,s42_sue_enriched@v1,sh600026,sell,1600,6.05,5.0,4.84,filled,"s42_sue_enriched@v1:600026当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-15,2022-03-16,s42_sue_enriched@v1,sz000975,sell,1100,8.19,5.0,4.5,filled,"s42_sue_enriched@v1:000975当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-03-31,2022-04-01,s42_sue_enriched@v1,sh600015,sell,1700,5.52,5.0,4.69,filled,"s42_sue_enriched@v1:600015不再满足选股门槛,卖出",
2022-03-31,2022-04-01,s42_sue_enriched@v1,sh601607,sell,400,23.6,5.0,4.72,filled,"s42_sue_enriched@v1:601607综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s42_sue_enriched@v1,sh601872,buy,2100,4.76,5.0,0.0,filled,s42_sue_enriched@v1:买入601872(股息率2.6%),
2022-03-31,2022-04-01,s42_sue_enriched@v1,sh600415,buy,2000,5.14,5.0,0.0,filled,s42_sue_enriched@v1:买入600415(股息率1.1%),
2022-03-31,2022-04-01,s42_sue_enriched@v1,sz002422,buy,600,17.17,5.0,0.0,filled,s42_sue_enriched@v1:买入002422(股息率0.0%),
2022-03-31,2022-04-01,s42_sue_enriched@v1,sh600115,buy,2200,4.65,5.0,0.0,filled,s42_sue_enriched@v1:买入600115(股息率0.0%),
2022-04-29,2022-05-05,s42_sue_enriched@v1,sh600115,sell,2200,4.69,5.0,5.16,filled,"s42_sue_enriched@v1:600115综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s42_sue_enriched@v1,sz000975,buy,1100,9.16,5.0,0.0,filled,s42_sue_enriched@v1:买入000975(股息率0.0%),
2022-05-10,2022-05-11,s42_sue_enriched@v1,sh601872,sell,2100,4.99,5.0,5.24,filled,"s42_sue_enriched@v1:601872当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-05-31,2022-06-01,s42_sue_enriched@v1,sh601872,buy,1700,6.01,5.0,0.0,filled,s42_sue_enriched@v1:买入601872(股息率2.0%),
2022-06-30,2022-07-01,s42_sue_enriched@v1,sz000975,sell,1100,9.62,5.0,5.29,filled,"s42_sue_enriched@v1:000975综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s42_sue_enriched@v1,sz000999,sell,200,44.95,5.0,4.5,filled,"s42_sue_enriched@v1:000999综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s42_sue_enriched@v1,sh600009,buy,100,56.25,5.0,0.0,filled,s42_sue_enriched@v1:买入600009(股息率0.0%),
2022-06-30,2022-07-01,s42_sue_enriched@v1,sh600015,buy,2000,5.22,5.0,0.0,filled,s42_sue_enriched@v1:买入600015(股息率12.3%),
2022-07-29,2022-08-01,s42_sue_enriched@v1,sh600015,sell,2000,5.11,5.0,5.11,filled,"s42_sue_enriched@v1:600015不再满足选股门槛,卖出",
2022-07-29,2022-08-01,s42_sue_enriched@v1,sh601916,sell,2400,3.24,5.0,3.89,filled,"s42_sue_enriched@v1:601916不再满足选股门槛,卖出",
2022-07-29,2022-08-01,s42_sue_enriched@v1,sh601658,buy,0,0.0,0.0,0.0,cancelled,"s42_sue_enriched@v1:买入601658(股息率5.3%)[行业银行Ⅱ≤25%缩放][<最低单笔5000元,跳过]",
2022-07-29,2022-08-01,s42_sue_enriched@v1,sh600674,buy,800,12.5,5.0,0.0,filled,s42_sue_enriched@v1:买入600674(股息率3.2%),
2022-08-26,2022-08-29,s42_sue_enriched@v1,sh601872,sell,1700,7.81,5.0,6.64,filled,"s42_sue_enriched@v1:601872当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-08-31,2022-09-01,s42_sue_enriched@v1,sh600803,sell,500,20.17,5.0,5.04,filled,"s42_sue_enriched@v1:600803综合排名掉出前10,卖出",
