signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s4_smallcap@v1,sh601077,buy,1900,3.89,5.0,0.0,filled,小市值多因子:买入渝农商行[单票上限15%削仓],
2022-01-28,2022-02-07,s4_smallcap@v1,sh601916,buy,2100,3.46,5.0,0.0,filled,小市值多因子:买入浙商银行[单票上限15%削仓],
2022-01-28,2022-02-07,s4_smallcap@v1,sz002532,buy,800,8.41,5.0,0.0,filled,小市值多因子:买入天山铝业[单票上限15%削仓],
2022-01-28,2022-02-07,s4_smallcap@v1,sh601456,buy,500,14.66,5.0,0.0,filled,小市值多因子:买入国联民生[单票上限15%削仓],
2022-01-28,2022-02-07,s4_smallcap@v1,sh600026,buy,1400,5.33,5.0,0.0,filled,小市值多因子:买入中远海能[单票上限15%削仓],
2022-02-28,2022-03-01,s4_smallcap@v1,sh601456,sell,500,14.69,5.0,3.67,filled,"掉出小市值前6,卖出国联民生",
2022-02-28,2022-03-01,s4_smallcap@v1,sz001965,buy,900,8.05,5.0,0.0,filled,小市值多因子:买入招商公路[单票上限15%削仓],
2022-02-28,2022-03-01,s4_smallcap@v1,sh601872,buy,1600,4.65,5.0,0.0,filled,小市值多因子:买入招商轮船[单票上限15%削仓],
2022-03-15,2022-03-16,s4_smallcap@v1,sz002532,sell,800,7.36,5.0,2.94,filled,止损(浮亏-14.0%>12%),
2022-03-15,2022-03-16,s4_smallcap@v1,sh601872,sell,1600,3.9,5.0,3.12,filled,止损(浮亏-17.8%>12%),
2022-03-31,2022-04-01,s4_smallcap@v1,sz002558,buy,700,10.02,5.0,0.0,filled,小市值多因子:买入巨人网络[单票上限15%削仓],
2022-03-31,2022-04-01,s4_smallcap@v1,sz002422,buy,400,17.17,5.0,0.0,filled,小市值多因子:买入科伦药业[单票上限15%削仓],
2022-04-22,2022-04-25,s4_smallcap@v1,sz002558,sell,700,8.6,5.0,3.01,filled,止损(浮亏-12.3%>12%),
2022-04-25,2022-04-26,s4_smallcap@v1,sz002422,sell,400,15.08,5.0,3.02,filled,止损(浮亏-12.4%>12%),
2022-04-29,2022-05-05,s4_smallcap@v1,sh600027,buy,1900,3.71,5.0,0.0,filled,小市值多因子:买入华电国际[单票上限15%削仓],
2022-04-29,2022-05-05,s4_smallcap@v1,sz003816,buy,2600,2.8,5.0,0.0,filled,小市值多因子:买入中国广核[单票上限15%削仓],
