signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601838,buy,500,14.17,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601838(股息率3.3%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601088,buy,300,23.12,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601088(股息率8.0%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601988,buy,2600,3.11,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601988(股息率6.4%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601009,buy,800,9.94,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601009(股息率4.0%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601998,buy,1700,4.7,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601998(股息率5.5%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh600919,buy,1200,6.68,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入600919(股息率4.8%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601211,buy,500,17.91,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601211(股息率3.2%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601668,buy,1700,5.28,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601668(股息率4.1%)[总仓≤90%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601658,buy,1400,5.71,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601658(股息率3.7%)[总仓≤90%缩放][行业银行Ⅱ≤25%缩放],
2022-01-28,2022-02-07,s53_all_a_momentum_smallcap@v1,sh601018,buy,2200,4.0,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601018(股息率2.1%)[总仓≤90%缩放],
2022-02-28,2022-03-01,s53_all_a_momentum_smallcap@v1,sh601211,sell,500,16.71,5.0,4.18,filled,"s53_all_a_momentum_smallcap@v1:601211综合排名掉出前10,卖出",
2022-02-28,2022-03-01,s53_all_a_momentum_smallcap@v1,sh601018,sell,2200,4.18,5.0,4.6,filled,"s53_all_a_momentum_smallcap@v1:601018综合排名掉出前10,卖出",
2022-02-28,2022-03-01,s53_all_a_momentum_smallcap@v1,sh601225,buy,600,14.18,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601225(股息率5.6%),
2022-02-28,2022-03-01,s53_all_a_momentum_smallcap@v1,sh600039,buy,800,12.3,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入600039(股息率2.0%),
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh601988,sell,2600,3.26,5.0,4.24,filled,"s53_all_a_momentum_smallcap@v1:601988综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh601658,sell,1400,5.36,5.0,3.75,filled,"s53_all_a_momentum_smallcap@v1:601658综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh600039,sell,800,10.39,5.0,4.16,filled,"s53_all_a_momentum_smallcap@v1:600039综合排名掉出前10,卖出",
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh601390,buy,1400,6.04,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601390(股息率3.0%)[行业建筑建材≤25%缩放],
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh600018,buy,1800,5.67,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入600018(股息率2.3%),
2022-03-31,2022-04-01,s53_all_a_momentum_smallcap@v1,sh601077,buy,0,0.0,0.0,0.0,cancelled,"s53_all_a_momentum_smallcap@v1:买入601077(股息率5.6%)[行业银行Ⅱ≤25%缩放][<最低单笔5000元,跳过]",
2022-04-29,2022-05-05,s53_all_a_momentum_smallcap@v1,sh601390,sell,1400,7.2,5.0,5.04,filled,"s53_all_a_momentum_smallcap@v1:601390综合排名掉出前10,卖出",
2022-04-29,2022-05-05,s53_all_a_momentum_smallcap@v1,sh601898,buy,800,9.41,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601898(股息率1.4%)[行业煤炭行业≤25%缩放],
2022-04-29,2022-05-05,s53_all_a_momentum_smallcap@v1,sh601169,buy,2100,4.57,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601169(股息率6.6%)[行业金融行业≤25%缩放],
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601668,sell,1700,5.49,5.0,4.67,filled,"s53_all_a_momentum_smallcap@v1:601668综合排名掉出前10,卖出",
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601998,sell,1700,4.64,5.0,3.94,filled,"s53_all_a_momentum_smallcap@v1:601998综合排名掉出前10,卖出",
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601169,sell,2100,4.41,5.0,4.63,filled,"s53_all_a_momentum_smallcap@v1:601169综合排名掉出前10,卖出",
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601390,buy,1600,6.58,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601390(股息率2.7%),
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601872,buy,1700,6.01,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601872(股息率2.0%),
2022-05-31,2022-06-01,s53_all_a_momentum_smallcap@v1,sh601077,buy,2700,3.87,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601077(股息率5.8%),
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601872,sell,1700,5.73,5.0,4.87,filled,"s53_all_a_momentum_smallcap@v1:601872综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh600018,sell,1800,5.81,5.0,5.23,filled,"s53_all_a_momentum_smallcap@v1:600018综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601898,sell,800,10.23,5.0,4.09,filled,"s53_all_a_momentum_smallcap@v1:601898综合排名掉出前10,卖出",
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601009,sell,800,10.22,5.0,4.09,filled,"s53_all_a_momentum_smallcap@v1:601009不再满足选股门槛,卖出",
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601169,buy,2100,4.55,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601169(股息率6.6%)[行业金融行业≤25%缩放],
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601668,buy,2000,5.37,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601668(股息率4.7%),
2022-06-30,2022-07-01,s53_all_a_momentum_smallcap@v1,sh601998,buy,2000,4.76,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601998(股息率5.3%)[行业金融行业≤25%缩放],
2022-07-08,2022-07-11,s53_all_a_momentum_smallcap@v1,sh601225,sell,600,19.92,5.0,5.98,filled,"s53_all_a_momentum_smallcap@v1:601225当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-07-11,2022-07-12,s53_all_a_momentum_smallcap@v1,sh601088,sell,300,28.97,5.0,4.35,filled,"s53_all_a_momentum_smallcap@v1:601088当日跌停(触及跌停价, 流动性/弱势风险, 结构性排雷),清仓",
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh601668,sell,2000,5.02,5.0,5.02,filled,"s53_all_a_momentum_smallcap@v1:601668综合排名掉出前10,卖出",
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh601077,sell,2700,3.57,5.0,4.82,filled,"s53_all_a_momentum_smallcap@v1:601077综合排名掉出前10,卖出",
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh601088,buy,300,28.15,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601088(股息率9.0%)[行业煤炭行业≤25%缩放],
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh601225,buy,400,19.11,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601225(股息率7.1%)[行业煤炭行业≤25%缩放],
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh600926,buy,0,0.0,0.0,0.0,cancelled,"s53_all_a_momentum_smallcap@v1:买入600926(股息率2.4%)[行业银行Ⅱ≤25%缩放][<最低单笔5000元,跳过]",
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh601009,buy,900,10.33,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入601009(股息率4.5%)[行业金融行业≤25%缩放],
2022-07-29,2022-08-01,s53_all_a_momentum_smallcap@v1,sh600188,buy,200,36.68,5.0,0.0,filled,s53_all_a_momentum_smallcap@v1:买入600188(股息率4.4%)[行业煤炭行业≤25%缩放],
