signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-14,2022-01-17,s5_grid@v1,sh510300,buy,1900,4.8,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位69%)",
2022-01-25,2022-01-26,s5_grid@v1,sh510300,buy,2000,4.7,5.0,0.0,filled,"网格加1档(第2/5档,mid区,PE分位66%)",
2022-01-27,2022-01-28,s5_grid@v1,sh510300,buy,2000,4.64,5.0,0.0,filled,"网格加1档(第3/5档,mid区,PE分位65%)",
2022-01-28,2022-02-07,s5_grid@v1,sh510300,buy,2000,4.63,5.0,0.0,filled,"网格加1档(第4/5档,mid区,PE分位62%)",
2022-02-11,2022-02-14,s5_grid@v1,sh510300,buy,2000,4.58,5.0,0.0,filled,"网格加1档(第5/5档,mid区,PE分位66%)",
2022-04-25,2022-04-26,s5_grid@v1,sh510300,sell,9900,3.81,9.43,18.86,filled,熔断清仓(回撤17.2%),
2022-04-26,2022-04-27,s5_grid@v1,sh510300,buy,2000,3.77,5.0,0.0,filled,"网格加1档(第1/5档,low区,PE分位27%)",
2022-04-28,2022-04-29,s5_grid@v1,sh510300,sell,2000,3.93,5.0,3.93,filled,"网格减1档(第1/5档,mid区,PE分位30%)",
2022-04-29,2022-05-05,s5_grid@v1,sh510300,buy,1900,3.98,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位34%)",
2022-05-09,2022-05-10,s5_grid@v1,sh510300,buy,2000,3.83,5.0,0.0,filled,"网格加1档(第2/5档,low区,PE分位29%)",
2022-05-13,2022-05-16,s5_grid@v1,sh510300,sell,1900,4.0,5.0,3.8,filled,"网格减1档(第2/5档,mid区,PE分位32%)",
2022-05-17,2022-05-18,s5_grid@v1,sh510300,sell,1900,4.0,5.0,3.8,filled,"网格减1档(第1/5档,mid区,PE分位33%)",
2022-05-18,2022-05-19,s5_grid@v1,sh510300,buy,2000,3.95,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位32%)",
2022-05-20,2022-05-23,s5_grid@v1,sh510300,sell,1900,4.08,5.0,3.88,filled,"网格减1档(第1/5档,mid区,PE分位35%)",
2022-05-23,2022-05-24,s5_grid@v1,sh510300,buy,1900,4.05,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位34%)",
2022-06-06,2022-06-07,s5_grid@v1,sh510300,sell,1900,4.16,5.0,3.95,filled,"网格减1档(第1/5档,mid区,PE分位39%)",
2022-06-07,2022-06-08,s5_grid@v1,sh510300,buy,1900,4.19,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位40%)",
2022-06-15,2022-06-16,s5_grid@v1,sh510300,sell,1800,4.3,5.0,3.87,filled,"网格减1档(第1/5档,mid区,PE分位49%)",
2022-06-16,2022-06-17,s5_grid@v1,sh510300,buy,1900,4.24,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位47%)",
2022-06-17,2022-06-20,s5_grid@v1,sh510300,sell,1800,4.33,5.0,3.9,filled,"网格减1档(第1/5档,mid区,PE分位50%)",
2022-06-20,2022-06-21,s5_grid@v1,sh510300,buy,1800,4.34,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位50%)",
2022-06-24,2022-06-27,s5_grid@v1,sh510300,sell,1800,4.43,5.0,3.99,filled,"网格减1档(第1/5档,mid区,PE分位53%)",
2022-06-27,2022-06-28,s5_grid@v1,sh510300,buy,1800,4.46,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位55%)",
2022-07-15,2022-07-18,s5_grid@v1,sh510300,buy,1800,4.31,5.0,0.0,filled,"网格加1档(第2/5档,mid区,PE分位41%)",
2022-07-21,2022-07-22,s5_grid@v1,sh510300,buy,1800,4.3,5.0,0.0,filled,"网格加1档(第3/5档,mid区,PE分位41%)",
2022-07-25,2022-07-26,s5_grid@v1,sh510300,buy,1800,4.28,5.0,0.0,filled,"网格加1档(第4/5档,mid区,PE分位40%)",
2022-07-29,2022-08-01,s5_grid@v1,sh510300,buy,1900,4.21,5.0,0.0,filled,"网格加1档(第5/5档,mid区,PE分位36%)",
2022-10-28,2022-10-31,s5_grid@v1,sh510300,sell,9500,3.58,8.5,17.01,filled,熔断清仓(回撤16.0%),
2022-10-31,2022-11-01,s5_grid@v1,sh510300,buy,1900,3.59,5.0,0.0,filled,"网格加1档(第1/5档,low区,PE分位16%)",
2023-01-13,2023-01-16,s5_grid@v1,sh510300,sell,1700,4.08,5.0,3.47,filled,"网格减1档(第1/5档,mid区,PE分位31%)",
2023-01-16,2023-01-17,s5_grid@v1,sh510300,buy,1600,4.15,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位32%)",
2023-01-20,2023-01-30,s5_grid@v1,sh510300,sell,1600,4.26,5.0,3.41,filled,"网格减1档(第1/5档,mid区,PE分位34%)",
2023-01-30,2023-01-31,s5_grid@v1,sh510300,buy,1600,4.21,5.0,0.0,filled,"网格加1档(第1/5档,mid区,PE分位34%)",
2023-02-06,2023-02-07,s5_grid@v1,sh510300,buy,1700,4.09,5.0,0.0,filled,"网格加1档(第2/5档,mid区,PE分位30%)",
2023-02-17,2023-02-20,s5_grid@v1,sh510300,buy,1700,4.04,5.0,0.0,filled,"网格加1档(第3/5档,low区,PE分位28%)",
2023-03-08,2023-03-09,s5_grid@v1,sh510300,buy,1700,4.03,5.0,0.0,filled,"网格加1档(第4/5档,mid区,PE分位31%)",
2023-03-09,2023-03-10,s5_grid@v1,sh510300,buy,1700,3.99,5.0,0.0,filled,"网格加1档(第5/5档,mid区,PE分位31%)",
2023-12-05,2023-12-06,s5_grid@v1,sh510300,sell,8600,3.45,7.42,14.84,filled,熔断清仓(回撤15.8%),
