signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2022-01-28,2022-02-07,s6_sector@v1,sh512800,buy,41800,1.17,12.23,0.0,filled,"行业轮动:买入最强 银行ETF(r60=+0.0% r120=+3.6%·60日波动池内第2低,10只中综合第1)",
2022-03-31,2022-04-01,s6_sector@v1,sh512800,sell,41800,1.15,12.02,24.04,filled,"行业轮动:换出银行ETF,轮入更强的国债ETF",
2022-03-31,2022-04-01,s6_sector@v1,sh511010,buy,300,127.14,9.54,0.0,filled,"行业轮动:买入最强 国债ETF(r60=+0.7% r120=+1.3%·60日波动池内第1低,10只中综合第1)",
2022-06-30,2022-07-01,s6_sector@v1,sh511010,sell,300,127.66,9.57,19.15,filled,"行业轮动:换出国债ETF,轮入更强的光伏ETF",
2022-06-30,2022-07-01,s6_sector@v1,sh515790,buy,28300,1.7,12.03,0.0,filled,"行业轮动:买入最强 光伏ETF(r60=+16.6% r120=+3.0%·60日波动池内第9低,10只中综合第1)",
2022-08-31,2022-09-01,s6_sector@v1,sh515790,sell,28300,1.6,11.32,22.64,filled,"行业轮动:换出光伏ETF,轮入更强的消费ETF",
2022-08-31,2022-09-01,s6_sector@v1,sz159928,buy,42000,1.08,11.34,0.0,filled,"行业轮动:买入最强 消费ETF(r60=+2.9% r120=+4.9%·60日波动池内第3低,10只中综合第1)",
2022-09-01,2022-09-02,s6_sector@v1,sz159928,sell,42000,1.06,11.13,22.26,filled,熔断清仓(回撤15.5%),
2022-09-30,2022-10-10,s6_sector@v1,sh511010,buy,300,128.83,9.66,0.0,filled,"避险:买入国债ETF(最强酒ETF r60=-6.7%<0,绝对动量为负,全仓避险)",
2022-10-31,2022-11-01,s6_sector@v1,sh511010,sell,300,129.65,9.72,19.45,filled,"行业轮动:换出国债ETF,轮入更强的军工ETF",
2022-10-31,2022-11-01,s6_sector@v1,sh512660,buy,36900,1.21,11.16,0.0,filled,"行业轮动:买入最强 军工ETF(r60=+1.7% r120=+18.6%·60日波动池内第6低,10只中综合第1)",
2022-11-30,2022-12-01,s6_sector@v1,sh512660,sell,36900,1.14,10.52,21.03,filled,"行业轮动:换出军工ETF(最强国债ETF绝对动量转负,避险)",
2022-11-30,2022-12-01,s6_sector@v1,sh511010,buy,300,128.52,9.64,0.0,filled,"避险:买入国债ETF(最强国债ETF r60=-0.7%<0,绝对动量为负,全仓避险)",
2022-12-30,2023-01-03,s6_sector@v1,sh511010,sell,300,129.09,9.68,19.36,filled,"行业轮动:换出国债ETF,轮入更强的银行ETF",
2022-12-30,2023-01-03,s6_sector@v1,sh512800,buy,39100,1.08,10.56,0.0,filled,"行业轮动:买入最强 银行ETF(r60=+3.8% r120=-3.6%·60日波动池内第2低,10只中综合第1)",
