signal_date,trade_date,strategy_id,code,side,shares,sim_price,fee,tax,status,reason,real_price
2026-08-04,2026-08-06,s26_microcap@v1,sh600741,buy,0,0.0,0.0,0.0,cancelled,s26_microcap@v1:买入华域汽车(股息率0.0%)[总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s26_microcap@v1,sh600061,buy,100,6.56,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入国投资本(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划9000元仅成交1136元]",
2026-08-04,2026-08-06,s26_microcap@v1,sh601878,buy,200,9.56,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入浙商证券(股息率0.0%)[总仓≤90%缩放][行业证券Ⅱ≤25%缩放][流动性截断,原计划8333元仅成交2784元]",
2026-08-04,2026-08-06,s26_microcap@v1,sh601117,buy,1100,7.79,5.0,0.0,filled,s26_microcap@v1:买入中国化学(股息率0.0%)[总仓≤90%缩放],
2026-08-04,2026-08-06,s26_microcap@v1,sh601607,buy,0,0.0,0.0,0.0,cancelled,s26_microcap@v1:买入上海医药(股息率0.0%)[总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s26_microcap@v1,sz002236,buy,400,17.1,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入大华股份(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8995元仅成交7072元]",
2026-08-04,2026-08-06,s26_microcap@v1,sh600023,buy,300,4.94,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入浙能电力(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8992元仅成交1728元]",
2026-08-04,2026-08-06,s26_microcap@v1,sh601059,buy,0,0.0,0.0,0.0,cancelled,s26_microcap@v1:买入信达证券(股息率0.0%)[总仓≤90%缩放][行业证券Ⅱ≤25%缩放][资金不足一手],
2026-08-04,2026-08-06,s26_microcap@v1,sh601901,buy,200,7.15,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入方正证券(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8991元仅成交1504元]",
2026-08-04,2026-08-06,s26_microcap@v1,sh600918,buy,100,5.67,5.0,0.0,cut_liquidity,"s26_microcap@v1:买入中泰证券(股息率0.0%)[总仓≤90%缩放][行业证券Ⅱ≤25%缩放][流动性截断,原计划8324元仅成交816元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sz000002,buy,600,3.28,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入万科A(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划9000元仅成交2048元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh600061,buy,100,6.56,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入国投资本(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8999元仅成交1136元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601117,buy,1100,7.79,5.0,0.0,filled,s29_smallcap_select@v1:买入中国化学(股息率0.0%)[总仓≤90%缩放],
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh600741,buy,0,0.0,0.0,0.0,cancelled,s29_smallcap_select@v1:买入华域汽车(股息率0.0%)[总仓≤90%缩放][行业汽车制造≤25%缩放][资金不足一手],
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601877,buy,100,25.91,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入正泰电器(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8995元仅成交3920元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601058,buy,0,0.0,0.0,0.0,cancelled,s29_smallcap_select@v1:买入赛轮轮胎(股息率0.0%)[总仓≤90%缩放][行业汽车制造≤25%缩放][资金不足一手],
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601878,buy,200,9.56,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入浙商证券(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8993元仅成交2784元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sz000999,buy,0,0.0,0.0,0.0,cancelled,s29_smallcap_select@v1:买入华润三九(股息率0.0%)[总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601377,buy,600,6.03,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入兴业证券(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8992元仅成交4016元]",
2026-08-04,2026-08-06,s29_smallcap_select@v1,sh601238,buy,100,5.35,5.0,0.0,cut_liquidity,"s29_smallcap_select@v1:买入广汽集团(股息率0.0%)[总仓≤90%缩放][行业汽车制造≤25%缩放][流动性截断,原计划8324元仅成交576元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sh600015,buy,300,6.83,5.0,0.0,cut_liquidity,"s32_roe_quality@v1:买入华夏银行(股息率0.0%)[总仓≤90%缩放][行业金融行业≤25%缩放][流动性截断,原计划8333元仅成交2688元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sh601398,buy,1100,7.55,5.0,0.0,filled,s32_roe_quality@v1:买入工商银行(股息率0.0%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2026-08-04,2026-08-06,s32_roe_quality@v1,sz000001,buy,700,11.26,5.0,0.0,filled,s32_roe_quality@v1:买入平安银行(股息率0.0%)[总仓≤90%缩放],
2026-08-04,2026-08-06,s32_roe_quality@v1,sh601988,buy,1400,5.77,5.0,0.0,filled,s32_roe_quality@v1:买入中国银行(股息率0.0%)[总仓≤90%缩放][行业金融行业≤25%缩放],
2026-08-04,2026-08-06,s32_roe_quality@v1,sh601607,buy,0,0.0,0.0,0.0,cancelled,s32_roe_quality@v1:买入上海医药(股息率0.0%)[总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s32_roe_quality@v1,sh600018,buy,100,5.19,5.0,0.0,cut_liquidity,"s32_roe_quality@v1:买入上港集团(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8991元仅成交832元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sz000651,buy,100,40.39,5.0,0.0,cut_liquidity,"s32_roe_quality@v1:买入格力电器(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8991元仅成交7472元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sh600019,buy,400,5.9,5.0,0.0,cut_liquidity,"s32_roe_quality@v1:买入宝钢股份(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8989元仅成交2768元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sh601229,buy,200,9.34,5.0,0.0,cut_liquidity,"s32_roe_quality@v1:买入上海银行(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8987元仅成交2384元]",
2026-08-04,2026-08-06,s32_roe_quality@v1,sh601658,buy,1800,4.99,5.0,0.0,filled,s32_roe_quality@v1:买入邮储银行(股息率0.0%)[总仓≤90%缩放],
2026-08-04,2026-08-06,s37_earnings_accel@v1,sz002236,buy,400,17.1,5.0,0.0,cut_liquidity,"s37_earnings_accel@v1:买入大华股份(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][流动性截断,原计划11250元仅成交7072元]",
2026-08-04,2026-08-06,s37_earnings_accel@v1,sz000708,buy,0,0.0,0.0,0.0,cancelled,s37_earnings_accel@v1:买入中信特钢(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh600741,buy,0,0.0,0.0,0.0,cancelled,s37_earnings_accel@v1:买入华域汽车(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh600039,buy,0,0.0,0.0,0.0,cancelled,s37_earnings_accel@v1:买入四川路桥(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh601117,buy,1200,7.79,5.0,0.0,cut_liquidity,"s37_earnings_accel@v1:买入中国化学(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][流动性截断,原计划11246元仅成交9904元]",
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh601838,buy,200,17.99,5.0,0.0,cut_liquidity,"s37_earnings_accel@v1:买入成都银行(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][流动性截断,原计划11242元仅成交3968元]",
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh601077,buy,300,6.49,5.0,0.0,cut_liquidity,"s37_earnings_accel@v1:买入渝农商行(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][流动性截断,原计划11239元仅成交2080元]",
2026-08-04,2026-08-06,s37_earnings_accel@v1,sh600674,buy,0,0.0,0.0,0.0,cancelled,s37_earnings_accel@v1:买入川投能源(股息率0.0%)[单票上限12%削仓][总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s42_sue_enriched@v1,sh601117,buy,1100,7.79,5.0,0.0,filled,s42_sue_enriched@v1:买入中国化学(股息率0.0%)[总仓≤90%缩放],
2026-08-04,2026-08-06,s42_sue_enriched@v1,sh600741,buy,0,0.0,0.0,0.0,cancelled,s42_sue_enriched@v1:买入华域汽车(股息率0.0%)[总仓≤90%缩放][资金不足一手],
2026-08-04,2026-08-06,s42_sue_enriched@v1,sz000002,buy,600,3.28,5.0,0.0,cut_liquidity,"s42_sue_enriched@v1:买入万科A(股息率0.0%)[总仓≤90%缩放][流动性截断,原计划8997元仅成交2048元]",
